,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.72,0.7692,0.5355,0.6647,0.5929,0.3834,0.3887,0.262
catboost,CatBoost Classifier,0.718,0.769,0.5338,0.6612,0.5907,0.3793,0.3844,1.048
et,Extra Trees Classifier,0.7243,0.7626,0.5563,0.6656,0.6057,0.3964,0.4004,0.056
rf,Random Forest Classifier,0.723,0.7605,0.5416,0.6686,0.5982,0.3904,0.3956,0.072
ada,Ada Boost Classifier,0.7015,0.7393,0.5338,0.6268,0.5762,0.3483,0.3512,0.128
lda,Linear Discriminant Analysis,0.6642,0.6653,0.3702,0.5966,0.4563,0.2325,0.2466,0.01
lr,Logistic Regression,0.6652,0.6629,0.3754,0.5978,0.4608,0.2361,0.2497,0.008
qda,Quadratic Discriminant Analysis,0.591,0.6389,0.6427,0.4753,0.545,0.1895,0.1974,0.008
mlp,MLP Classifier,0.6296,0.6326,0.4775,0.5161,0.4957,0.2039,0.2044,0.822
nb,Naive Bayes,0.5762,0.6278,0.6886,0.4645,0.5536,0.1795,0.1924,0.006
dt,Decision Tree Classifier,0.6336,0.6111,0.5121,0.5198,0.5159,0.2212,0.2212,0.014
knn,K Neighbors Classifier,0.624,0.6104,0.3019,0.5118,0.3795,0.135,0.1448,0.046
ridge,Ridge Classifier,0.6662,0.0,0.3642,0.6041,0.4537,0.2343,0.2502,0.006
svm,SVM - Linear Kernel,0.6032,0.0,0.4057,0.4751,0.4372,0.1342,0.1352,0.01
