,feature name,rank
795,DDE_HD,1
715,DDE_DD,1
941,DDE_QK,1
935,DDE_QD,1
1023,DDE_VM,1
1050,DDE_WV,1
881,DDE_MK,1
875,DDE_MD,1
785,DDE_GP,1
724,DDE_DN,1
680,DDE_AI,1
679,DDE_AH,2
988,DDE_SS,3
1009,DDE_TT,4
205,CTDC_secondarystruct.G3,5
3405,QSO3_SC_M,6
282,CTDD_hydrophobicity_CASG920101.3.residue75,7
3314,DDR_N,8
279,CTDD_hydrophobicity_CASG920101.3.residue0,9
203,CTDC_secondarystruct.G1,10
1062,DDE_YL,11
1015,DDE_VD,12
3635,MSW__27,13
3648,Z3__7,14
69,CKSAAGP_uncharger.uncharger.gap1,15
3248,CKSAAP_TS.gap3,16
3403,QSO3_SC_L,17
2754,CKSAAP_IY.gap2,18
726,DDE_DQ,19
928,DDE_PS,20
3615,MSW__7,21
860,DDE_LI,22
187,CTDC_hydrophobicity_ENGD860101.G3,23
2466,CKSAAP_NG.gap1,24
11,AAC_K,25
796,DDE_HE,26
3290,PAAC_Xc1.R,27
336,CTDD_polarity.2.residue50,28
334,CTDD_polarity.2.residue0,29
633,CTriad_g6.g1.g1,30
573,CTriad_g4.g3.g1,31
3697,Z5__26,31
2275,CKSAAP_AL.gap1,33
725,DDE_DP,34
2931,CKSAAP_VS.gap2,35
1906,NMBroto_CHAM810101.lag2,36
3662,Z3__21,37
646,CTriad_g6.g3.g2,37
1509,GTPC_postivecharger.alphaticr.aromatic,39
121,CKSAAGP_alphaticr.aromatic.gap4,40
1850,Geary_CHAM820102.lag3,41
3668,Z3__27,42
3717,Z5__46,43
741,DDE_EK,44
3069,CKSAAP_HR.gap3,45
1847,Geary_CHAM820101.lag3,46
3641,TM_tend,47
3748,formula_H,48
413,CTDT_hydrophobicity_PONP930101.Tr1221,49
3624,MSW__16,50
3616,MSW__8,51
1888,NMBroto_CIDH920105.lag2,52
3715,Z5__44,53
782,DDE_GL,54
299,CTDD_hydrophobicity_FASG890101.1.residue0,55
3019,CKSAAP_ET.gap3,56
3801,OVP_Hydrophobic_N4,56
982,DDE_SL,58
925,DDE_PP,59
3543,Charge_phys,59
268,CTDD_hydrophobicity_PONP930101.3.residue100,61
1816,APAAC_Pc1.D,62
1896,NMBroto_CHAM820102.lag1,62
1905,NMBroto_CHAM810101.lag1,64
3734,Z5__63,65
2662,CKSAAP_DY.gap2,66
3556,Cougar__12,67
3569,Cougar__25,68
3585,Ez__11,69
3691,Z5__20,70
3432,QSO3_SC2,71
1858,Geary_CHAM810101.lag2,72
1849,Geary_CHAM820102.lag2,73
3636,MSW__28,73
1859,Geary_CHAM810101.lag3,75
3685,Z5__14,76
3756,Kytedoolittle,77
3619,MSW__11,78
1844,Geary_BHAR880101.lag3,78
1892,NMBroto_BHAR880101.lag3,80
3676,Z5__5,81
3617,MSW__9,82
990,DDE_SV,82
439,CTDT_secondarystruct.Tr2332,84
3744,Z5__73,85
3441,Isoelectric_point,86
3705,Z5__34,87
50,CKSAAGP_aromatic.alphaticr.gap1,88
327,CTDD_normwaalsvolume.3.residue75,89
1904,NMBroto_BIGC670101.lag3,90
232,CTDD_hydrophobicity_ARGP820101.2.residue75,91
843,DDE_KM,92
3696,Z5__25,93
416,CTDT_hydrophobicity_CASG920101.Tr1221,94
234,CTDD_hydrophobicity_ARGP820101.3.residue0,95
3732,Z5__61,95
3695,Z5__24,97
868,DDE_LS,98
3646,Z3__5,99
351,CTDD_polarizability.2.residue50,99
3666,Z3__25,101
296,CTDD_hydrophobicity_ENGD860101.3.residue50,102
3623,MSW__15,103
3754,Hopp_woods,104
3645,Z3__4,105
3743,Z5__72,106
425,CTDT_normwaalsvolume.Tr1221,107
3721,Z5__50,107
289,CTDD_hydrophobicity_ENGD860101.2.residue0,109
837,DDE_KF,110
3753,Eisenberg,111
3713,Z5__42,112
3730,Z5__59,113
3297,PAAC_Xc1.H,114
174,CTDC_hydrophobicity_ARGP820101.G2,115
3745,Z5__74,115
3546,Cougar__2,117
3681,Z5__10,117
348,CTDD_polarizability.1.residue100,119
3396,QSO3_SC_D,120
410,CTDT_hydrophobicity_ZIMJ680101.Tr1221,121
3665,Z3__24,121
20,CKSAAGP_alphaticr.alphaticr.gap0,124
3714,Z5__43,124
1882,Moran_CHAM810101.lag2,124
38,CKSAAGP_negativecharger.negativecharger.gap0,126
3706,Z5__35,127
3238,CKSAAP_TG.gap3,128
3597,Ez__23,129
3656,Z3__15,130
3739,Z5__68,131
317,CTDD_normwaalsvolume.1.residue75,131
437,CTDT_secondarystruct.Tr1221,133
1878,Moran_BIGC670101.lag1,134
3702,Z5__31,136
3704,Z5__33,136
1006,DDE_TQ,136
1890,NMBroto_BHAR880101.lag1,138
249,CTDD_hydrophobicity_ZIMJ680101.3.residue0,139
256,CTDD_hydrophobicity_PONP930101.1.residue50,140
231,CTDD_hydrophobicity_ARGP820101.2.residue50,140
193,CTDC_normwaalsvolume.G3,142
2470,CKSAAP_NL.gap1,142
3738,Z5__67,144
380,CTDD_secondarystruct.2.residue25,145
3325,DDR_F,147
250,CTDD_hydrophobicity_ZIMJ680101.3.residue25,147
3701,Z5__30,147
3725,Z5__54,149
197,CTDC_polarizability.G1,150
3503,ABHPRK__65,151
1013,DDE_VA,152
3672,Z5__1,153
3634,MSW__26,154
3590,Ez__16,155
3581,Ez__7,156
3586,Ez__12,157
3548,Cougar__4,158
431,CTDT_polarizability.Tr1221,158
3651,Z3__10,160
3692,Z5__21,160
113,CKSAAGP_negativecharger.negativecharger.gap3,162
1863,Moran_CIDH920105.lag1,162
3576,Ez__2,164
3718,Z5__47,164
3614,MSW__6,166
3547,Cougar__3,167
3625,MSW__17,168
291,CTDD_hydrophobicity_ENGD860101.2.residue50,169
417,CTDT_hydrophobicity_CASG920101.Tr1331,169
414,CTDT_hydrophobicity_PONP930101.Tr1331,171
3688,Z5__17,171
5,AAC_Q,173
3621,MSW__13,174
99,CKSAAGP_alphaticr.uncharger.gap3,175
376,CTDD_secondarystruct.1.residue50,175
386,CTDD_secondarystruct.3.residue50,177
288,CTDD_hydrophobicity_ENGD860101.1.residue100,178
3574,Cougar__30,179
3605,Flexibility,179
1845,Geary_CHAM820101.lag1,182
3640,Refractivity,182
418,CTDT_hydrophobicity_CASG920101.Tr2332,182
3723,Z5__52,184
1868,Moran_BHAR880101.lag3,185
3496,ABHPRK__57,186
2358,CKSAAP_GE.gap1,186
3741,Z5__70,188
3322,DDR_L,189
198,CTDC_polarizability.G2,190
3749,formula_N,192
3729,Z5__58,192
3710,Z5__39,192
1872,Moran_CHAM820102.lag1,194
3747,formula_C,195
3707,Z5__36,196
753,DDE_FA,197
3638,MSW__30,198
3663,Z3__22,199
3694,Z5__23,199
1837,APAAC_Pc2.Hydrophobicity.3,202
1907,NMBroto_CHAM810101.lag3,202
3727,Z5__56,202
261,CTDD_hydrophobicity_PONP930101.2.residue50,205
281,CTDD_hydrophobicity_CASG920101.3.residue50,205
3439,Calculate_charge,205
