,gbc,et,catboost,dt,ada
negative1,0,0,0,0,0
negative2,1,1,1,1,1
negative3,0,0,0,1,0
negative4,1,1,1,1,1
negative5,0,0,0,0,0
negative6,0,0,0,0,0
negative7,1,1,1,1,0
negative8,0,0,0,0,0
negative9,0,0,0,0,0
negative10,0,1,1,1,1
negative11,1,1,1,1,1
negative12,1,1,1,1,1
negative13,1,1,1,1,0
negative14,0,0,0,0,0
negative15,0,0,0,0,0
negative16,0,0,0,0,0
negative17,1,1,1,1,1
negative18,0,0,0,0,0
negative19,0,0,0,0,0
negative20,0,0,0,0,0
negative21,0,0,0,0,0
negative22,0,0,0,0,0
negative23,0,0,0,0,0
negative24,0,0,0,0,0
negative25,0,0,0,0,0
negative26,1,1,1,1,1
negative27,0,0,0,0,0
negative28,0,0,0,0,0
negative29,1,1,1,1,1
negative30,1,1,1,1,1
negative31,0,0,0,0,0
negative32,0,0,0,0,0
negative33,0,0,0,0,0
negative34,1,1,1,1,1
negative35,0,0,0,0,0
negative36,0,0,0,1,0
negative37,0,0,0,0,0
negative38,0,0,0,0,0
negative39,1,1,1,1,1
negative40,0,0,0,0,0
negative41,0,0,0,0,0
negative42,0,0,0,0,0
negative43,1,0,0,1,1
negative44,1,1,1,1,1
negative45,0,0,0,0,0
negative46,0,0,0,1,1
negative47,0,0,0,0,0
negative48,0,0,0,0,0
negative49,0,0,0,0,0
negative50,0,0,0,0,0
negative51,0,0,0,0,0
negative52,0,0,0,0,0
negative53,0,0,0,1,1
negative54,0,0,0,0,0
negative55,0,0,0,0,0
negative56,0,0,0,1,1
negative57,1,1,1,1,1
negative58,0,0,0,0,0
negative59,0,0,0,0,1
negative60,0,0,0,1,1
negative61,0,0,0,0,0
negative62,0,0,0,0,0
negative63,0,0,0,0,0
negative64,0,0,0,0,0
negative65,1,1,1,0,1
negative66,0,0,0,0,0
negative67,0,0,0,0,0
negative68,0,0,0,1,0
negative69,0,0,0,0,0
negative70,1,0,0,1,1
negative71,0,0,0,0,0
negative72,0,0,0,0,0
negative73,0,0,0,0,0
negative74,0,0,0,0,0
negative75,0,0,0,0,0
negative76,0,0,0,0,0
negative77,0,0,0,0,0
negative78,0,0,0,1,1
negative79,0,0,0,0,0
negative80,0,0,0,0,0
negative81,0,0,0,0,0
negative82,0,0,0,0,0
negative83,0,0,0,1,1
negative84,0,0,0,0,0
negative85,0,0,0,0,0
negative86,1,1,1,1,1
negative87,0,0,0,0,0
negative88,0,0,0,0,0
negative89,0,0,0,1,1
negative90,0,0,0,0,0
negative91,0,0,0,0,0
negative92,1,1,0,1,1
negative93,0,0,0,0,0
negative94,1,1,1,0,1
negative95,0,0,0,0,0
negative96,0,0,0,1,1
negative97,0,0,0,0,0
negative98,0,0,0,0,0
negative99,0,0,0,0,0
negative100,0,0,0,0,0
negative101,0,0,0,0,0
negative102,0,0,0,0,0
negative103,0,0,0,0,0
negative104,1,1,1,1,1
negative105,0,0,0,0,0
negative106,0,0,0,0,0
negative107,0,0,0,0,0
negative108,0,0,0,0,0
negative109,1,1,1,1,1
negative110,0,0,0,0,0
negative111,0,0,0,0,0
negative112,0,0,1,1,1
negative113,0,0,0,0,0
negative114,0,0,0,0,0
negative115,0,0,0,1,0
negative116,0,0,0,0,0
negative117,0,0,0,1,0
negative118,0,0,0,0,0
negative119,0,0,0,1,1
negative120,1,1,1,1,1
negative121,0,0,0,0,0
negative122,0,0,0,0,0
negative123,0,0,0,1,0
negative124,0,0,0,0,0
negative125,0,0,0,0,0
negative126,0,0,0,1,0
negative127,1,1,1,1,1
negative128,0,0,0,0,0
negative129,1,0,1,1,1
negative130,1,1,1,1,1
negative131,0,0,0,0,0
negative132,0,0,0,0,0
negative133,1,1,1,1,1
negative134,1,1,1,1,1
negative135,1,0,0,1,1
negative136,1,1,1,1,1
negative137,0,0,0,1,0
negative138,0,0,0,0,0
negative139,0,0,0,1,1
negative140,0,0,0,1,1
negative141,1,1,1,1,1
negative142,0,0,0,0,0
negative143,0,0,0,0,0
negative144,1,1,1,1,1
negative145,0,0,0,0,0
negative146,0,0,0,0,0
negative147,0,0,0,0,0
negative148,1,1,1,1,1
negative149,0,0,0,0,0
negative150,1,1,1,1,1
negative151,0,0,0,0,0
negative152,0,0,0,0,0
negative153,0,0,0,0,0
negative154,0,0,0,0,0
negative155,1,1,1,1,1
negative156,0,0,0,0,0
negative157,0,0,0,0,0
negative158,0,0,0,0,0
negative159,0,0,0,0,0
negative160,0,0,0,1,1
negative161,0,1,0,1,0
negative162,0,0,0,0,0
negative163,0,0,0,0,0
negative164,0,0,0,0,0
negative165,0,0,0,0,0
negative166,1,1,1,1,1
negative167,0,0,0,1,1
negative168,0,0,0,1,0
negative169,0,0,0,0,0
negative170,0,0,0,0,0
negative171,0,0,0,0,0
negative172,0,0,0,0,0
negative173,0,0,0,0,0
negative174,0,0,0,1,0
