,gbc,et,catboost,dt,ada
negative1,0.14895094985823842,0.02,0.06128229538771809,0.2048530097993467,0.4782749715194723
negative2,0.7959608538555555,0.84,0.8710536637330732,0.7544642857142857,0.5188998680297204
negative3,0.2834704079078131,0.05,0.2512975907521486,0.5411471321695761,0.4947477027782513
negative4,0.840894497341702,0.58,0.7954904387652741,0.7544642857142857,0.5069569248636421
negative5,0.2392964184168549,0.27,0.14185872899886243,0.2048530097993467,0.4785297035919314
negative6,0.14173194791551982,0.19,0.11064057092352765,0.2048530097993467,0.47847272527885887
negative7,0.571788658827743,0.66,0.5754737862590824,0.5411471321695761,0.49974008221689825
negative8,0.14471867831741483,0.0,0.1624877502483799,0.2048530097993467,0.48222913205528267
negative9,0.1142105265043228,0.01,0.11174219868827545,0.2048530097993467,0.4742333729719819
negative10,0.42566492866190647,0.555,0.5500029907757481,0.7544642857142857,0.5049729839232839
negative11,0.7614215785724265,0.74,0.8495835647801574,0.5411471321695761,0.5171728006452685
negative12,0.7219379713612256,0.62,0.6422089707988735,0.8044444444444444,0.5071783562761022
negative13,0.6045290122810293,0.95,0.7150979477202231,0.5411471321695761,0.4998335964971329
negative14,0.21487820886809023,0.15,0.2514319517191817,0.2048530097993467,0.4813914970544384
negative15,0.10492458511822765,0.0,0.06735393413391223,0.2048530097993467,0.47788374996765487
negative16,0.18178845540418004,0.04,0.17686818917755118,0.2048530097993467,0.483012381908054
negative17,0.7069327697645316,0.68,0.7819817340476498,0.8044444444444444,0.512325632251187
negative18,0.23031520929102506,0.01,0.16759673383358112,0.38636363636363635,0.4839096823217155
negative19,0.24933497580399208,0.05,0.19508250260880236,0.2048530097993467,0.4815646264896446
negative20,0.15000026341186762,0.07,0.19271002831980796,0.2048530097993467,0.4807313098603464
negative21,0.14103094106048417,0.0,0.1564247250901108,0.2048530097993467,0.4765090821752829
negative22,0.15240792355187274,0.05,0.14213493115077022,0.2048530097993467,0.4735389134451289
negative23,0.17491033985736296,0.0,0.17524020631283943,0.2048530097993467,0.48099437139852264
negative24,0.2131113614617368,0.22,0.2553221804534779,0.2048530097993467,0.48252873828906323
negative25,0.24422476641440866,0.19,0.14458042072914254,0.2048530097993467,0.47558995247448577
negative26,0.6395765199955822,0.66,0.7512911586998032,0.7544642857142857,0.5054613974227774
negative27,0.17413490353070485,0.0,0.1435072391771736,0.2048530097993467,0.4794763856746384
negative28,0.1240895147368652,0.12,0.11128258111150745,0.2048530097993467,0.47152122272982244
negative29,0.8298195912948536,0.93,0.7914100387348174,0.7759562841530054,0.5208614371786441
negative30,0.7545011318358289,0.8,0.787812214381267,0.7544642857142857,0.5080632458418806
negative31,0.1517647502996861,0.02,0.10815710696638507,0.2048530097993467,0.48005437611374924
negative32,0.11377917958490279,0.13,0.09416822701071953,0.2048530097993467,0.4769092626411869
negative33,0.11592258337070117,0.01,0.10786364279511287,0.2048530097993467,0.4769351830430654
negative34,0.8309845981395392,0.71,0.7438664587617122,0.7544642857142857,0.5145394256975356
negative35,0.30230135353491216,0.01,0.22802454649226422,0.2048530097993467,0.4898804610204874
negative36,0.2554831212851269,0.03,0.15693085224345113,0.5411471321695761,0.49413752889899937
negative37,0.10463868270847129,0.0,0.05524086799353846,0.2048530097993467,0.4759218777423085
