,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
negative1,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,0.69712,-0.92396,1.17662,0.72349,-0.22045,-0.24832,-0.60805,1.33623,-0.79504,-0.22454,-0.33253,-0.1838,-0.17764,-0.21124,0.3858,-0.24955,-0.16218,-0.19169,-0.05628,-0.11703,-0.75649,-1.44303,-0.77343,-0.28071,-0.21525,-0.98418,-0.30461,-0.19193,-0.2232,-0.21254,0.52382,-0.23907,-0.24428,3.1708,-0.86237,-0.89509,-1.17746,-0.2726,-0.10657,-0.85947,0.33468,-0.56813,-0.35463,-0.31771,1.13446,-0.02891,-0.38289,-0.26272,0.05573,-0.202,-1.36951,-0.27646,-0.15406,2.3342,0
negative2,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.16467,1.44661,-1.17097,0.17657,-0.86983,-0.62717,-0.22045,-0.24832,0.76679,0.03304,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,0.03864,-0.24955,0.93324,-0.19169,-1.01935,-0.11703,0.3547,1.75839,0.71479,-0.28071,2.47062,1.87672,-0.30461,-0.19193,-0.2232,-0.22343,0.32023,-0.23907,-0.24428,-0.59064,-0.08058,-0.65608,-0.83827,-0.2726,-0.10657,-0.62979,-1.54382,-0.90525,0.80661,-0.6553,0.51395,-0.62496,-0.21447,-0.26272,1.6577,-0.202,0.73019,-0.27646,-0.15406,-0.56563,0
negative3,-0.12018,-0.19379,-0.21457,-0.16183,-0.08533,-0.10337,-0.13806,-0.12242,-0.20692,-0.1858,-0.23447,-0.12964,-0.19517,-0.19811,-1.13008,1.12922,-0.9041,-0.92396,-0.57748,2.42789,-0.21279,-0.24405,-0.65467,0.48284,-0.79504,-0.22454,-0.9666,-0.1838,-0.17439,-0.19637,1.40362,-0.24009,-1.76619,-0.19169,0.01251,-0.11228,0.32624,0.89451,2.04357,1.96317,-0.21525,-0.48142,-0.30461,-0.18668,-0.2232,-0.22048,-1.02699,-0.23907,-0.24428,-0.59064,0.18978,0.55065,-0.7885,3.55565,-0.10657,0.18283,-0.68895,-0.90525,0.98527,-0.68275,0.26961,1.55612,0.24472,-0.25034,-0.71665,-0.202,-1.36951,-0.25865,-0.14692,0.27948,0
negative4,-0.12453,4.30927,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,1.39484,-0.51986,1.63116,0.11908,2.19984,0.27327,-0.22045,-0.24832,-0.70034,0.50827,0.80672,-0.22454,0.71818,-0.1838,-0.17764,-0.21124,-0.25707,-0.24955,-0.16218,-0.19169,-0.05628,-0.11703,0.31356,-1.79874,-0.77343,-0.28071,-0.21525,-1.3884,-0.30461,-0.19193,-0.2232,0.46915,-0.02543,-0.23907,-0.24428,-0.59064,-1.23219,-1.13716,0.43459,-0.2726,-0.10657,0.0038,0.52627,-0.39957,-0.35463,-0.57686,1.77956,-0.43767,0.17889,-0.26272,0.05573,-0.202,-1.36951,-0.27646,-0.15406,-0.23416,0
negative5,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,1.45473,0.69712,0.61596,1.17662,-0.17695,-0.22045,-0.24832,1.36552,-1.60133,0.00584,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-0.55684,-0.24955,-1.2576,-0.19169,-0.05628,-0.11703,-0.75649,-0.02018,-0.77343,-0.28071,-0.21525,2.49109,-0.30461,-0.19193,4.27512,0.19211,0.0377,-0.23907,-0.24428,1.29008,0.44556,0.18559,-1.73643,-0.2726,-0.10657,1.13599,-0.4471,-1.45306,2.54849,-1.63673,-0.02562,-0.75525,-2.07288,-0.26272,3.25967,-0.202,0.73019,-0.27646,-0.15406,-0.56563,0
negative6,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,1.63116,-0.92396,0.92081,-1.07738,-0.22045,-0.24832,1.1029,0.704,0.80672,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-1.58406,-0.24955,2.02867,-0.19169,-1.01935,-0.11703,-0.75649,-0.37589,0.34274,-0.28071,-0.21525,1.58881,-0.30461,-0.19193,4.27512,0.02061,-0.13141,-0.23907,-0.24428,-0.59064,1.20378,-1.54619,1.71652,-0.2726,-0.10657,2.11698,-1.02845,-1.32664,-0.93526,-0.94415,-0.4838,-0.61617,1.85918,-0.26272,0.85672,-0.202,0.73019,-0.27646,-0.15406,-0.61526,0
negative7,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.875,-0.51986,1.16414,1.75961,1.68823,-1.07738,-0.22045,-0.24832,-0.02006,0.43449,1.6076,-0.22454,-0.31235,-0.1838,-0.17764,-0.21124,0.14275,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,-0.75649,-1.08732,-0.77343,-0.28071,-0.21525,-0.34772,-0.30461,4.59684,-0.2232,-0.01481,0.90287,-0.23907,-0.24428,-0.59064,-0.69164,0.11721,-0.05832,-0.2726,-0.10657,0.72863,0.45774,-0.48385,-0.35463,0.23389,-1.1131,-0.04942,-0.68838,-0.26272,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,0.43528,0
negative8,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,0.46361,0.85619,0.92081,0.27327,-0.22045,-0.24832,-0.78082,-2.25022,0.00584,-0.22454,-0.3628,5.93513,-0.17764,-0.21124,-1.01017,-0.24955,-1.2576,-0.19169,1.86985,-0.11703,0.31013,-1.08732,-0.40137,-0.28071,-0.21525,-0.35223,-0.30461,-0.19193,-0.2232,0.67941,-1.54471,-0.23907,-0.24428,1.29008,0.69409,0.30508,0.71346,-0.2726,-0.10657,0.52957,-0.00322,-0.23101,0.22599,-1.37315,-0.72135,0.74076,0.96824,3.50456,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,0.57256,0
negative9,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,1.00583,1.63116,1.40235,2.19984,-0.17695,-0.22045,-0.24832,-0.86663,-0.64367,0.00584,-0.22454,-0.35483,-0.1838,-0.17764,-0.21124,1.32688,-0.24955,-0.16218,5.3648,-0.05628,-0.11703,0.28016,-0.7316,0.34274,-0.28071,-0.21525,0.53895,-0.30461,-0.19193,-0.2232,-1.25119,-0.7843,-0.23907,-0.24428,1.29008,1.04786,0.235,-0.14147,-0.2726,-0.10657,1.68643,0.67092,-0.35743,0.22599,0.11961,0.11473,-0.63708,0.64994,-0.26272,0.05573,-0.202,0.73019,-0.27646,-0.15406,0.43528,0
negative10,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.29463,-0.51986,-0.17855,1.34486,0.02549,0.49838,-0.25519,-0.26769,-0.84245,0.66578,0.36179,-0.22454,1.4696,-0.1838,-0.19234,-0.27867,-1.80776,3.00321,0.52246,-0.19169,1.86985,-0.13857,-0.75649,1.31375,-0.02932,-0.28071,-0.21525,-0.84581,-0.30461,-0.21571,-0.2232,0.39938,-0.47573,-0.23907,-0.24428,-0.59064,-0.84551,-0.25268,0.15564,2.88319,-0.10657,-0.29147,0.21923,2.17095,-0.66023,-0.86961,-1.78124,-0.2199,-0.94772,-0.31883,-0.84538,-0.202,0.73019,2.74536,-0.18643,-1.11989,0
