,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
negative1,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,10.02132,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,3.99402,-0.51986,-1.40448,-0.92396,-1.12564,-1.5276,-0.22045,-0.24832,0.98133,-0.19335,1.6076,-0.22454,-0.9666,-0.1838,-0.17764,4.31533,0.8895,-0.24955,-2.35302,-0.19169,-0.05628,-0.11703,0.43933,1.04696,-0.40137,-0.28071,-0.21525,1.97127,-0.30461,4.59684,-0.2232,4.22711,-0.76832,-0.23907,-0.24428,-0.59064,-0.30908,0.92379,0.36296,-0.2726,-0.10657,-2.69161,-1.36485,-1.53734,3.12911,-1.03976,-0.4232,1.20266,2.30341,-0.26272,-0.74525,-0.202,-1.36951,-0.27646,3.10616,1.32872,0
negative2,-0.09535,-0.17971,-0.19986,-0.14297,-0.05013,-0.07589,-0.1263,-0.10956,-0.16426,-0.17232,-0.19478,-0.08391,-0.1211,-0.14827,-1.37762,-0.51986,0.54144,-0.92396,1.00608,2.37429,-0.16905,-0.21967,-1.38245,-0.33218,-0.79504,-0.22454,0.76945,-0.1838,-0.15588,-0.11148,0.7445,-0.18609,0.38553,-0.19169,2.19088,-0.08517,-0.75649,-2.15446,-1.14549,-0.28071,-0.21525,-2.29354,-0.30461,-0.15675,-0.2232,0.63629,-0.44798,-0.23907,-0.24428,-0.59064,-0.64553,1.0222,0.20351,4.61845,-0.10657,-0.15312,3.19845,-1.87446,-1.51588,-0.76391,2.68958,-1.34907,0.61131,-0.17969,-0.47826,-0.202,0.73019,-0.15697,-0.10615,3.54389,0
negative3,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,0.34685,0.91368,-0.35822,0.16072,-0.25519,3.0803,-0.68964,1.68652,0.36179,-0.22454,-0.9666,-0.1838,4.89079,-0.27867,1.75949,-0.29244,-1.12067,-0.19169,-0.29705,7.3076,0.26717,-0.02018,0.52877,-0.28071,-0.21525,0.55503,-0.30461,-0.21571,-0.2232,-0.12828,0.06881,-0.23907,-0.24428,-0.59064,1.50707,-0.98176,-0.48145,-0.28176,-0.10657,-0.70333,0.79265,0.78034,0.19543,0.78924,-0.37428,-0.44049,0.81452,-0.31883,-0.54501,-0.202,0.73019,-0.35722,-0.18643,-0.15181,0
negative4,-0.08952,-0.1764,-0.19641,-0.13854,-0.04186,-0.06943,-0.12354,-0.10654,-0.15423,-0.16915,-0.18545,-0.07316,-0.10369,-0.13655,-0.29463,-0.51986,2.09818,-0.92396,2.71145,0.49838,-0.15876,-0.21394,-0.1352,1.32001,0.9402,-0.22454,-0.09882,-0.1838,-0.15153,-0.09152,0.78485,-0.17339,-0.29911,-0.19169,-1.01935,12.18884,-0.75649,-1.48749,-0.44788,-0.28071,-0.21525,-0.11993,-0.30461,-0.14971,-0.2232,1.54892,1.31491,4.68535,-0.24428,-0.59064,0.19459,0.13576,-1.48458,-0.25635,-0.10657,2.29561,1.15995,-2.84367,-0.35463,-0.12505,1.35861,0.79005,-0.04529,-0.16308,0.3561,-0.202,0.73019,-0.13307,-0.09657,-0.42436,0
negative5,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,3.19751,4.12343,-0.24143,-0.13765,-0.20814,-0.20684,2.43451,-0.51986,0.69712,0.66319,1.17662,-1.5276,-0.22045,3.65197,0.26558,-1.45536,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,2.03723,-0.24955,-1.2576,5.3648,0.90678,-0.11703,-0.75649,-0.02018,-0.77343,-0.28071,-0.21525,1.87963,-0.30461,-0.19193,-0.2232,-0.03791,-0.5203,-0.23907,-0.24428,1.29008,1.19459,-2.56877,0.70142,-0.2726,-0.10657,0.39741,-0.60159,-1.4952,-0.35463,-0.95742,-0.13738,1.02474,2.01464,-0.26272,0.05573,-0.202,-1.36951,-0.27646,-0.15406,-0.61805,0
negative6,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,-0.93746,0.44554,-0.61402,0.27327,-0.22045,-0.24832,0.03655,0.56863,0.00584,-0.22454,-0.34978,-0.1838,-0.17764,-0.21124,0.63387,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,-0.75649,-1.08732,-0.77343,-0.28071,-0.21525,0.0884,-0.30461,-0.19193,-0.2232,-0.23633,0.45369,-0.23907,-0.24428,-0.59064,-0.02613,-0.56599,-0.88849,7.1015,-0.10657,0.64649,-1.43659,-0.48385,0.22599,-0.83452,0.62459,2.03597,0.80616,-0.26272,0.85672,-0.202,0.73019,-0.27646,-0.15406,-0.58075,0
negative7,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-1.07439,-0.51986,1.39765,0.97528,-0.16636,0.83604,-0.25519,-0.26769,-0.05714,0.17103,-0.79504,-0.22454,4.22202,-0.1838,-0.19234,-0.27867,-1.4927,3.00321,2.16559,-0.19169,-1.01935,-0.13857,-0.75649,-0.55375,-0.86644,-0.28071,-0.21525,0.84884,-0.30461,-0.21571,-0.2232,0.8537,1.29259,-0.23907,-0.24428,0.66317,0.07285,-0.01152,-1.13325,-0.28176,-0.10657,-0.28229,-1.69444,1.83383,-0.66023,0.73334,-0.68643,0.40481,-0.85811,-0.31883,2.75906,-0.202,0.73019,-0.35722,-0.18643,-1.61845,0
negative8,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-1.72418,-0.51986,-1.40448,-0.92396,-1.12564,1.62393,-0.22045,-0.24832,-0.52098,-1.23441,-0.79504,-0.22454,-0.32569,-0.1838,-0.17764,-0.21124,0.14874,-0.24955,-0.16218,-0.19169,0.90678,-0.11703,-0.75649,-0.02018,-0.77343,-0.28071,-0.21525,-0.48807,-0.30461,-0.19193,-0.2232,-0.03473,0.70369,-0.23907,-0.24428,-0.59064,1.2302,0.00938,-0.75825,-0.2726,-0.10657,-0.05656,0.59931,-0.35743,-0.35463,-1.24425,0.98814,0.4814,-0.57006,-0.26272,0.05573,-0.202,0.73019,-0.27646,-0.15406,1.59513,0
negative9,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,6.60941,-0.18816,-0.24143,-0.13765,2.42466,-0.20684,3.47418,2.1711,0.69712,-0.92396,1.17662,-1.97782,-0.22045,-0.24832,1.93584,1.48943,0.80672,-0.22454,0.11243,-0.1838,-0.17764,-0.21124,-0.3257,-0.24955,-0.16218,-0.19169,-1.01935,-0.11703,-0.75649,-0.02018,-0.77343,-0.28071,-0.21525,1.85789,-0.30461,-0.19193,-0.2232,1.74622,0.07028,-0.23907,-0.24428,-0.59064,0.261,-0.41956,-1.10785,-0.2726,-0.10657,-2.13416,-0.51446,-1.45306,1.96786,-0.10932,-0.76838,-0.00466,0.7693,-0.26272,3.66017,-0.202,0.73019,-0.27646,-0.15406,-1.70381,0
negative10,-0.12018,-0.19379,-0.21457,-0.16183,-0.08533,-0.10337,-0.13806,-0.12242,-0.20692,4.28854,-0.23447,-0.12964,-0.19517,-0.19811,1.65475,-0.51986,-0.40372,0.11908,-0.02933,-0.94875,-0.21279,-0.24405,-0.28469,1.19661,2.67543,-0.22454,-0.31414,-0.1838,-0.17439,-0.19637,0.36307,-0.24009,-1.17936,-0.19169,1.04437,-0.11228,0.35191,-0.24885,-0.34822,-0.28071,-0.21525,0.50039,-0.30461,-0.18668,-0.2232,-1.08137,-1.51421,-0.23907,-0.24428,-0.59064,0.33628,-1.24267,1.64817,-0.27059,-0.10657,-0.01772,-1.24013,-1.03167,0.35998,-1.5658,0.80668,0.3825,-3.34493,-0.25034,-0.71665,-0.202,0.73019,-0.25865,-0.14692,0.18996,0
