,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
seq1|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,-0.51986,-0.87908,1.55018,-0.55007,-1.5276,-0.25519,3.0803,0.82738,1.14787,-0.79504,-0.22454,-0.9666,-0.1838,-0.19234,-0.27867,0.7871,-0.29244,-0.29911,3.82133,-0.29705,-0.13857,-0.75649,-0.02018,-0.86644,-0.28071,2.47062,0.90577,-0.30461,-0.21571,-0.2232,-0.69437,1.13945,-0.23907,-0.24428,1.91698,0.85588,-0.98566,-0.72451,-0.28176,-0.10657,-0.2745,-1.04771,0.44322,0.19543,0.36429,0.63327,-0.25325,-0.30193,-0.31883,-0.54501,-0.202,-1.36951,-0.35722,-0.18643,-0.39596,0
seq2|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,5.60925,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,3.21426,-0.51986,-0.00342,0.93421,0.4092,-1.18994,-0.25519,-0.26769,1.83807,-0.2568,0.9402,-0.22454,0.68563,-0.1838,-0.19234,-0.27867,0.33224,-0.29244,-1.12067,3.82133,-1.01935,-0.13857,-0.75649,0.24661,-0.86644,-0.28071,-0.21525,1.74744,-0.30461,-0.21571,-0.2232,4.34973,0.00573,-0.23907,-0.24428,-0.59064,0.99986,0.42951,-0.23654,-0.28176,-0.10657,0.1298,-0.89281,-0.65241,1.05109,-0.70826,0.60063,0.51594,-2.26369,-0.31883,-0.24464,-0.202,0.73019,-0.35722,2.61212,-0.69035,0
seq3|0|negative,-0.11566,-0.19123,-0.21189,-0.1584,-0.07893,-0.09837,-0.13592,-0.12008,-0.19915,-0.18334,-0.22725,-0.12131,-0.18169,-0.18904,0.15523,-0.51986,-0.59617,-0.92396,-0.24015,-0.28084,-0.20483,-0.23961,-1.4032,1.10334,-0.79504,-0.22454,-0.33139,-0.1838,-0.17102,-0.18092,1.27985,-0.23026,-0.4571,-0.19169,-1.01935,-0.10735,1.14748,-1.33358,-0.71619,-0.28071,-0.21525,1.48742,-0.30461,-0.18124,-0.2232,-1.17156,-0.7462,-0.23907,-0.24428,-0.59064,-0.82701,-1.25023,0.95121,-0.26849,-0.10657,-1.30867,-0.55807,-0.98953,0.5163,-0.05278,0.52984,0.55727,-1.42117,-0.23748,1.62689,-0.202,0.73019,-0.24014,-0.1395,0.4997,0
seq4|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,-0.51986,-0.35368,0.75353,0.02549,-0.17695,-0.25519,3.0803,-0.66946,-0.612,-0.21662,-0.22454,-0.9666,-0.1838,-0.19234,-0.27867,0.58564,-0.29244,-1.12067,3.82133,1.14755,-0.13857,1.39913,-0.28696,-0.86644,-0.28071,-0.21525,0.28164,-0.30461,-0.21571,-0.2232,-0.63051,-1.14761,-0.23907,-0.24428,-0.59064,-0.70849,-1.26529,1.1157,-0.28176,-0.10657,0.46283,0.8847,1.32815,1.47892,-1.0673,0.46734,0.93142,1.62998,-0.31883,-0.54501,-0.202,-1.36951,-0.35722,-0.18643,-1.08943,0
seq5|0|negative,-0.11566,-0.19123,-0.21189,-0.1584,-0.07893,-0.09837,-0.13592,-0.12008,-0.19915,-0.18334,-0.22725,-0.12131,-0.18169,-0.18904,-1.0444,-0.51986,0.48157,-0.92396,0.35017,0.23864,4.83363,-0.23961,-0.82721,0.59125,-0.79504,-0.22454,-0.34294,-0.1838,-0.17102,-0.18092,-0.02467,-0.23026,-0.4571,-0.19169,0.09188,-0.10735,0.19137,1.12905,-0.71619,-0.28071,-0.21525,1.15939,-0.30461,-0.18124,5.17478,-0.18652,-0.50853,-0.23907,-0.24428,-0.59064,-1.43588,0.00873,-0.3259,-0.26849,-0.10657,1.26678,0.38228,-0.77883,-0.16109,-0.19087,1.13845,0.91017,0.72382,-0.23748,-0.22153,-0.202,0.73019,-0.24014,-0.1395,-0.39052,0
seq6|0|negative,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,-0.51986,1.57278,1.79657,-0.55007,0.16072,-0.25519,-0.26769,0.01975,0.2948,-0.79504,-0.22454,2.59583,-0.1838,-0.19234,-0.27867,-1.23658,-0.29244,2.16559,-0.19169,-1.01935,-0.13857,-0.75649,-0.28696,-0.86644,-0.28071,-0.21525,1.47901,-0.30461,-0.21571,-0.2232,0.05574,0.91817,-0.23907,-0.24428,1.91698,0.04169,-0.33172,-1.33866,-0.28176,-0.10657,-0.48506,-1.71389,1.49671,-0.66023,0.60067,-0.14209,0.62118,-0.93948,-0.31883,1.25721,-0.202,-1.36951,-0.35722,-0.18643,-1.61845,0
seq7|0|negative,-0.11095,-0.18856,-0.2091,-0.15482,-0.07225,-0.09315,-0.13369,-0.11764,-0.19106,-0.18079,-0.21972,-0.11264,-0.16763,-0.17958,-0.29463,1.4799,-1.40448,-0.92396,-1.12564,0.49838,5.06597,-0.23498,-0.41775,0.94073,-0.79504,-0.22454,-0.16473,-0.1838,-0.16751,-0.16481,-0.0944,-0.22001,-0.29911,-0.19169,0.18448,-0.1022,0.35718,0.51339,-0.68042,-0.28071,-0.21525,0.59577,-0.30461,-0.17555,-0.2232,-0.72232,-0.74755,-0.23907,-0.24428,-0.59064,2.18591,-0.42611,0.1242,-0.2663,-0.10657,0.6556,0.08951,-1.4952,-0.03793,-0.15401,-0.68201,1.29566,0.63113,-0.22407,2.85918,-0.202,0.73019,-0.22085,-0.13176,1.09842,0
seq8|0|negative,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,-0.23533,-0.19477,-0.26091,-0.16009,2.14473,-0.2313,1.22156,0.92222,1.709,-0.92396,1.00608,-0.62717,-0.24192,-0.26029,1.09668,-0.31406,-0.14432,-0.22454,-0.38835,-0.1838,-0.18672,3.85489,-0.86408,-0.27606,0.38553,-0.19169,-1.01935,-0.13034,0.34985,-0.37589,-0.83544,-0.28071,-0.21525,-0.12486,-0.30461,-0.20662,-0.2232,0.42517,-0.93434,-0.23907,-0.24428,-0.59064,-0.90769,-0.72793,1.15078,-0.27826,-0.10657,1.94566,-1.63224,-0.35743,1.35308,-0.53482,0.55253,-0.73367,-0.22072,-0.2974,0.18923,-0.202,-1.36951,-0.32637,-0.17406,0.5566,0
seq9|0|negative,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,-0.23533,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,-0.94443,-0.51986,1.90359,-0.92396,-0.48612,0.1232,-0.24192,-0.26029,-0.7469,0.94984,0.50639,-0.22454,0.57757,4.71135,-0.18672,-0.25291,-1.12967,-0.27606,0.38553,-0.19169,-1.01935,-0.13034,0.40964,-0.67232,-0.83544,-0.28071,-0.21525,0.72682,-0.30461,-0.20662,-0.2232,-2.43897,-0.25302,-0.23907,-0.24428,0.85606,-1.03168,0.2167,0.46085,-0.27826,-0.10657,-1.03883,0.21154,0.48536,0.39676,0.20136,-0.18375,-0.34726,0.92955,3.12135,1.5242,-0.202,0.73019,-0.32637,-0.17406,-0.68085,0
seq10|0|negative,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,-0.23533,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,0.35516,-0.51986,-1.40448,-0.92396,-1.12564,0.1232,-0.24192,-0.26029,0.35339,-0.88616,-0.14432,-0.22454,-0.9666,-0.1838,-0.18672,-0.25291,-0.80647,-0.27606,-1.8966,-0.19169,1.38832,-0.13034,-0.75649,-0.37589,-0.83544,-0.28071,-0.21525,0.75221,-0.30461,-0.20662,-0.2232,2.60902,-0.52757,-0.23907,-0.24428,-0.59064,1.39944,-0.23213,-0.61584,-0.27826,-0.10657,-0.96587,-0.62549,-0.18887,1.83124,-1.82553,-0.72234,0.89285,-1.0317,-0.2974,0.52297,-0.202,0.73019,-0.32637,-0.17406,0.66298,0
seq11|0|negative,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,-0.23533,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,-0.07803,0.93521,0.73603,-0.92396,-0.91246,0.87356,-0.24192,-0.26029,-0.06264,-0.39912,1.1571,-0.22454,-0.38314,-0.1838,5.1871,3.85489,-1.32131,-0.27606,-0.52732,-0.19169,-0.2168,-0.13034,1.39576,-0.37589,-0.52539,-0.28071,-0.21525,-0.66381,-0.30461,-0.20662,-0.2232,0.58074,-1.57358,-0.23907,-0.24428,0.85606,-0.18767,0.40614,2.56979,-0.27826,-0.10657,0.09096,0.55357,0.44322,0.39676,0.15306,0.68197,-0.33497,-1.0555,-0.2974,-0.14452,-0.202,0.73019,-0.32637,5.74313,-0.95178,0
