DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
0.00,0.00,8.63,0.00,0.00,13.68,7.88,7.76,0.00,11.16,4.82,7.28,0.00,6.94,10.21,8.72,0.00,0.00,0.00,0.00,
3.62,4.62,0.00,0.00,0.00,0.00,3.12,0.00,0.00,3.62,6.12,0.00,0.00,3.12,0.00,5.14,0.00,0.00,0.00,0.00,
14.65,14.65,6.63,0.00,11.05,0.00,0.00,13.58,18.05,0.00,13.68,0.00,0.00,11.05,0.00,5.88,12.05,12.05,5.94,0.00,
7.89,0.00,0.00,7.89,0.00,5.79,13.25,12.61,0.00,7.37,0.00,8.63,0.00,9.65,0.00,11.16,9.05,0.00,12.05,14.65,
0.00,0.00,2.70,10.08,0.00,0.00,0.00,0.00,3.82,1.62,0.00,10.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
4.62,0.00,0.00,0.00,0.00,6.12,4.62,1.71,0.00,6.12,0.00,3.12,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,
9.62,14.19,0.00,0.00,10.38,11.05,11.90,12.95,12.95,9.52,19.05,0.00,0.00,17.24,7.47,6.25,5.17,0.00,0.00,14.65,
8.67,5.36,0.00,13.07,0.00,0.00,0.00,0.00,0.00,0.00,4.15,0.00,3.58,0.00,4.07,9.87,7.73,0.00,0.00,0.00,
8.06,0.00,0.00,10.47,0.00,0.00,7.41,16.06,0.00,14.28,6.12,4.44,0.00,0.00,0.00,11.76,0.00,0.00,5.06,8.28,
0.00,14.06,10.81,0.00,7.31,0.00,4.93,12.31,7.81,0.00,10.81,0.00,0.00,6.50,0.00,6.00,6.67,0.00,8.56,0.00,
2.79,0.00,0.00,0.00,0.00,0.00,0.00,5.17,13.25,18.05,0.00,9.25,0.00,18.05,0.00,4.12,10.25,0.00,0.00,14.65,
9.65,4.12,10.25,14.65,7.89,7.41,7.89,16.25,0.00,0.00,6.42,0.00,0.00,0.00,13.25,9.65,0.00,0.00,0.00,0.00,
0.00,13.07,5.36,0.00,0.00,0.00,13.07,0.00,7.07,7.73,0.00,6.67,0.00,6.53,7.50,0.00,9.87,0.00,6.67,4.15,
11.33,6.53,0.00,4.62,0.00,0.00,5.54,7.73,0.00,6.67,7.73,6.67,0.00,0.00,7.07,0.00,0.00,13.07,0.00,9.87,
10.28,9.39,16.06,0.00,0.00,7.94,6.12,0.00,0.00,0.00,5.06,0.00,0.00,4.06,8.06,0.00,0.00,0.00,4.94,0.00,
0.00,9.38,0.00,7.07,0.00,0.00,7.73,5.69,0.00,0.00,8.67,5.36,6.67,0.00,11.33,9.87,0.00,0.00,0.00,11.33,
3.73,11.05,0.00,0.00,0.00,12.32,16.25,0.00,9.05,0.00,7.94,0.00,0.00,11.05,0.00,9.65,0.00,14.65,0.00,18.05,
12.72,9.39,0.00,0.00,0.00,16.06,0.00,5.76,10.28,0.00,3.60,16.06,0.00,0.00,6.19,0.00,7.06,0.00,8.72,14.28,
11.76,15.06,7.53,0.00,0.00,0.00,14.06,0.00,0.00,5.06,5.19,0.00,0.00,9.41,5.56,7.65,13.29,0.00,4.93,0.00,
8.67,4.46,0.00,7.73,7.07,0.00,0.00,0.00,0.00,0.00,11.33,0.00,0.00,0.00,5.50,10.36,13.07,0.00,6.50,6.67,
11.33,0.00,7.73,7.73,0.00,0.00,7.07,0.00,0.00,4.64,5.79,2.92,0.00,0.00,6.53,0.00,0.00,0.00,0.00,8.00,
4.94,0.00,0.00,13.25,0.00,14.65,0.00,0.00,0.00,0.00,9.05,16.25,9.47,0.00,13.25,3.47,11.05,0.00,0.00,10.25,
4.07,0.00,0.00,0.00,0.00,0.00,13.07,6.67,0.00,9.87,0.00,8.67,0.00,11.33,6.67,4.64,0.00,11.33,3.85,6.53,
7.37,0.00,11.16,16.25,0.00,0.00,0.00,0.00,0.00,8.63,6.11,0.00,8.61,0.00,5.94,8.53,0.00,11.05,12.11,0.00,
0.00,0.00,5.69,0.00,0.00,0.00,0.00,8.00,0.00,4.18,6.08,6.15,0.00,4.91,0.00,0.00,0.00,0.00,0.00,10.08,
2.93,0.00,0.00,0.00,0.00,0.00,0.00,5.17,13.25,18.05,0.00,9.25,0.00,18.05,0.00,3.81,10.25,0.00,0.00,14.65,
11.17,7.68,0.00,0.00,0.00,8.63,0.00,9.05,9.05,0.00,11.05,6.42,0.00,0.00,11.05,4.12,13.68,0.00,10.25,0.00,
4.18,7.08,0.00,0.00,0.00,0.00,5.08,0.00,10.08,0.00,4.44,0.00,0.00,0.00,0.00,5.08,0.00,0.00,5.42,5.42,
0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,6.50,8.10,0.00,8.10,4.10,0.00,4.10,2.67,0.00,4.22,0.00,
