QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3
0.0,0.0,0.0,0.4213,0.0,0.0,0.4213,0.0,0.4213,0.0,0.0,0.8427,0.0,0.0,0.0,1.6854,0.8427,0.0,0.4213,1.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.2406,0.1443,0.1937,0.2406,0.1443,0.1937
0.3473,0.0,0.3473,1.3894,0.3473,0.3473,0.6947,0.6947,0.0,0.0,0.6947,0.3473,0.0,0.3473,0.0,0.0,0.3473,0.0,0.0,0.3473,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2293,0.2053,0.2181,0.2293,0.2053,0.2181
0.9706,0.0,0.0,2.2647,0.0,0.0,1.2941,0.9706,0.0,0.0,0.0,0.0,0.0,0.3235,0.0,1.6176,0.3235,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2446,0.2315,0.2003,0.2446,0.2315,0.2003
2.5404,0.0,0.5081,0.0,0.0,0.5081,0.5081,0.0,0.0,0.0,1.0161,0.5081,0.0,0.0,0.0,0.5081,1.5242,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.1921,0.1877,0.1121,0.1921,0.1877,0.1121
0.6843,0.3422,0.3422,0.3422,0.0,0.0,1.7108,0.3422,0.3422,0.3422,0.6843,0.0,0.0,0.0,0.0,0.0,0.0,0.3422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,0.2738,0.2022,0.1818,0.2738,0.2022
0.7652,0.3826,0.0,0.3826,0.0,0.0,0.7652,0.0,0.0,0.3826,1.1479,0.3826,0.0,0.0,0.0,0.7652,0.0,0.0,0.3826,1.1479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.1508,0.2421,0.2244,0.1508,0.2421,0.2244
0.6925,0.3462,0.3462,0.0,0.3462,0.0,0.6925,0.6925,0.0,0.3462,0.3462,0.0,0.0,0.6925,0.3462,0.0,0.6925,0.0,0.6925,0.6925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2347,0.2232,0.1959,0.2347,0.2232,0.1959
0.0,0.0,0.4258,0.0,0.0,0.4258,1.7032,0.8516,0.0,0.0,1.2774,0.0,0.0,0.4258,0.0,0.4258,0.8516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2247,0.171,0.1784,0.2247,0.171,0.1784
1.9196,0.0,0.0,0.0,0.0,0.0,0.0,1.2797,0.0,0.6399,1.2797,0.0,0.0,1.2797,0.6399,0.6399,0.6399,0.0,0.6399,0.6399,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.1387,0.1313,0.0901,0.1387,0.1313,0.0901
0.3525,0.0,1.4102,0.0,0.0,0.0,0.0,0.3525,0.0,1.0576,1.0576,1.0576,0.3525,0.3525,0.3525,0.3525,0.0,0.0,0.3525,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2127,0.1838,0.2509,0.2127,0.1838,0.2509
0.8264,0.2755,0.0,0.2755,0.0,0.0,0.0,1.1019,0.0,0.2755,0.2755,0.8264,0.0,0.551,0.0,0.551,0.551,0.0,0.2755,0.8264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2518,0.2747,0.1981,0.2518,0.2747,0.1981
0.0,0.3476,0.3476,0.3476,0.0,0.3476,0.3476,0.0,0.3476,0.0,0.6951,1.0427,0.0,0.0,0.0,0.3476,0.0,0.3476,0.0,0.6951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2279,0.2488,0.1757,0.2279,0.2488,0.1757
0.3992,0.3992,0.0,0.3992,0.3992,1.1975,0.3992,0.0,0.0,0.7983,0.7983,0.3992,0.0,0.0,0.3992,0.0,0.0,0.0,0.3992,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2629,0.2352,0.1027,0.2629,0.2352,0.1027
